,0,1
0,2016063015,9558
1,2016063016,-1052
2,2016063017,8404
3,2016063018,6824
4,2016063019,4228
5,2016063020,3375
6,2016063021,3563
7,2016063022,5582
8,2016063023,-2278
9,2016070100,3904
10,2016070101,4922
11,2016070102,-396
12,2016070103,-2306
13,2016070104,1438
14,2016070105,927
15,2016070106,658
16,2016070107,2436
17,2016070108,1671
18,2016070109,1982
19,2016070110,-273
20,2016070111,-775
21,2016070112,1249
22,2016070113,4712
23,2016070114,-1366
24,2016070115,3891
25,2016070116,4169
26,2016070117,1919
27,2016070118,-4595
28,2016070119,-5795
29,2016070120,2839
30,2016070121,10897
31,2016070122,4072
32,2016070123,-30
33,2016070200,7693
34,2016070201,6758
35,2016070202,3989
36,2016070203,5303
37,2016070204,-5720
38,2016070205,1829
39,2016070206,4693
40,2016070207,700
41,2016070208,2856
42,2016070209,-5439
43,2016070210,4151
44,2016070211,-7276
45,2016070212,2452
46,2016070213,2070
47,2016070214,4017
48,2016070215,4769
49,2016070216,4071
50,2016070217,5830
51,2016070218,5754
52,2016070219,-3094
53,2016070220,7240
54,2016070221,8521
55,2016070222,5453
56,2016070223,8431
57,2016070300,1156
58,2016070301,4151
59,2016070302,6410
60,2016070303,-6558
61,2016070304,3682
62,2016070305,6050
63,2016070306,-3813
64,2016070307,1518
65,2016070308,6589
66,2016070309,6529
67,2016070310,2642
68,2016070311,925
69,2016070312,281
70,2016070313,4805
71,2016070314,7830
72,2016070315,-1002
73,2016070316,6719
74,2016070317,-5705
75,2016070318,7963
76,2016070319,5962
77,2016070320,-5928
78,2016070321,12836
79,2016070322,11577
80,2016070323,6643
81,2016070400,7697
82,2016070401,7724
83,2016070402,1297
84,2016070403,-7031
85,2016070404,-10854
86,2016070405,-10620
87,2016070406,-8762
88,2016070407,-5450
89,2016070408,2251
90,2016070409,4429
91,2016070410,379
92,2016070411,1584
93,2016070412,1690
94,2016070413,-1587
95,2016070414,4361
96,2016070415,3928
97,2016070416,4624
98,2016070417,6168
99,2016070418,4558
100,2016070419,-4994
101,2016070420,6784
102,2016070421,5226
103,2016070422,4129
104,2016070423,3562
105,2016070500,-444
106,2016070501,-3506
107,2016070502,5229
108,2016070503,3535
109,2016070504,4600
110,2016070505,43
111,2016070506,360
112,2016070507,5131
113,2016070508,5049
114,2016070509,-412
115,2016070510,5353
116,2016070511,-1059
117,2016070512,4346
118,2016070513,6430
119,2016070514,8281
120,2016070515,-1173
121,2016070516,5383
122,2016070517,-3291
123,2016070518,4414
124,2016070519,3368
125,2016070520,-3058
126,2016070521,5471
127,2016070522,10867
128,2016070523,-4392
129,2016070600,3683
130,2016070601,-247
131,2016070602,-991
132,2016070603,5111
133,2016070604,1093
134,2016070605,-2558
135,2016070606,-475
136,2016070607,4223
137,2016070608,-315
138,2016070609,6185
139,2016070610,5919
140,2016070611,-4151
141,2016070612,-494
142,2016070613,-5396
143,2016070614,1913
144,2016070615,3310
145,2016070616,3557
146,2016070617,1530
147,2016070618,4449
148,2016070619,-1765
149,2016070620,7936
150,2016070621,7178
151,2016070622,5095
152,2016070623,7033
153,2016070700,-7109
154,2016070701,1409
155,2016070702,3660
156,2016070703,-154
157,2016070704,5293
158,2016070705,-3338
159,2016070706,9305
160,2016070707,-1389
161,2016070708,289
162,2016070709,137
163,2016070710,2075
164,2016070711,5554
165,2016070712,6612
166,2016070713,3380
167,2016070714,3431
168,2016070715,4037
169,2016070716,513
170,2016070717,6044
171,2016070718,7001
172,2016070719,-1854
173,2016070720,5034
174,2016070721,3283
175,2016070722,4600
176,2016070723,6282
177,2016070800,-9716
178,2016070801,3811
179,2016070802,3483
180,2016070803,5263
181,2016070804,4698
182,2016070805,-3035
183,2016070806,-3956
184,2016070807,-2474
185,2016070808,-234
186,2016070809,-8031
187,2016070810,-4095
188,2016070811,6665
189,2016070812,-7298
190,2016070813,7164
191,2016070814,4324
192,2016070815,5633
193,2016070816,7218
194,2016070817,5792
195,2016070818,875
196,2016070819,1708
197,2016070820,6177
198,2016070821,1631
199,2016070822,5317
200,2016070823,6166
201,2016070900,7493
202,2016070901,-10068
203,2016070902,3389
204,2016070903,5392
205,2016070904,670
206,2016070905,348
207,2016070906,-1725
208,2016070907,-2609
209,2016070908,4028
210,2016070909,-5650
211,2016070910,-3379
212,2016070911,-6709
213,2016070912,7042
214,2016070913,-2629
215,2016070914,5153
216,2016070915,5778
217,2016070916,5678
218,2016070917,3409
219,2016070918,4519
220,2016070919,5060
221,2016070920,5421
222,2016070921,-2078
223,2016070922,6053
224,2016070923,7306
225,2016071000,7617
226,2016071001,8129
227,2016071002,7056
228,2016071003,7319
229,2016071004,5624
230,2016071005,-8082
231,2016071006,1646
232,2016071007,823
233,2016071008,2048
234,2016071009,-677
235,2016071010,156
236,2016071011,-409
237,2016071012,4743
238,2016071013,1706
239,2016071014,3266
240,2016071015,-1529
241,2016071016,2763
242,2016071017,8045
243,2016071018,5415
244,2016071019,5429
245,2016071020,6085
246,2016071021,3499
247,2016071022,1426
248,2016071023,1782
249,2016071100,7291
250,2016071101,4283
251,2016071102,991
252,2016071103,5477
253,2016071104,3798
254,2016071105,5096
255,2016071106,-1717
256,2016071107,-6451
257,2016071108,-1101
258,2016071109,1890
259,2016071110,5906
260,2016071111,6377
261,2016071112,2151
262,2016071113,5216
263,2016071114,-1160
264,2016071115,4434
265,2016071116,1793
266,2016071117,2592
267,2016071118,5009
268,2016071119,5156
269,2016071120,4837
270,2016071121,-302
271,2016071122,-3747
272,2016071123,-4899
273,2016071200,3534
274,2016071201,7782
275,2016071202,4823
276,2016071203,4216
277,2016071204,557
278,2016071205,-159
279,2016071206,4226
280,2016071207,3283
281,2016071208,7314
282,2016071209,2717
283,2016071210,3231
284,2016071211,3800
285,2016071212,5460
286,2016071213,2740
287,2016071214,4388
288,2016071215,6403
289,2016071216,12571
290,2016071217,7466
291,2016071218,6276
292,2016071219,5138
293,2016071220,8091
294,2016071221,5380
295,2016071222,7601
296,2016071223,6393
297,2016071300,6218
298,2016071301,-2847
299,2016071302,-2647
300,2016071303,2992
301,2016071304,-91
302,2016071305,1670
303,2016071306,-1324
304,2016071307,-164
305,2016071308,-2502
306,2016071309,-254
307,2016071310,2004
308,2016071311,981
309,2016071312,3227
310,2016071313,-6929
311,2016071314,1702
312,2016071315,2471
313,2016071316,1983
314,2016071317,734
315,2016071318,1857
316,2016071319,4131
317,2016071320,4175
318,2016071321,8304
319,2016071322,9944
320,2016071323,7560
321,2016071400,4001
322,2016071401,4304
323,2016071402,2822
324,2016071403,-1407
325,2016071404,-378
326,2016071405,5057
327,2016071406,3474
328,2016071407,-1506
329,2016071408,3446
330,2016071409,-2299
331,2016071410,2395
332,2016071411,1242
333,2016071412,-4545
334,2016071413,4474
335,2016071414,-1520
336,2016071415,5786
337,2016071416,2800
338,2016071417,3479
339,2016071418,2070
340,2016071419,1693
341,2016071420,1566
342,2016071421,4088
343,2016071422,3103
344,2016071423,3347
345,2016071500,3343
346,2016071501,-2452
347,2016071502,5283
348,2016071503,3995
349,2016071504,4399
350,2016071505,3426
351,2016071506,1644
352,2016071507,1288
353,2016071508,3086
354,2016071509,1883
355,2016071510,4519
356,2016071511,4252
357,2016071512,1197
358,2016071513,4469
359,2016071514,4739
360,2016071515,3335
361,2016071516,2572
362,2016071517,2467
363,2016071518,1903
364,2016071519,657
365,2016071520,2493
366,2016071521,5027
367,2016071522,5006
368,2016071523,5498
369,2016071600,3852
370,2016071601,2888
371,2016071602,3553
372,2016071603,3065
373,2016071604,-4526
374,2016071605,4169
375,2016071606,1874
376,2016071607,2038
377,2016071608,1556
378,2016071609,2160
379,2016071610,5355
380,2016071611,3612
381,2016071612,3400
382,2016071613,9349
383,2016071614,6070
384,2016071615,9848
385,2016071616,5521
386,2016071617,4224
387,2016071618,8542
388,2016071619,7610
389,2016071620,1108
390,2016071621,15782
391,2016071622,12251
392,2016071623,2999
393,2016071700,5019
394,2016071701,6654
395,2016071702,-1536
396,2016071703,-59
397,2016071704,7371
398,2016071705,5654
399,2016071706,1992
400,2016071707,3667
401,2016071708,-1752
402,2016071709,5705
403,2016071710,-6802
404,2016071711,3533
405,2016071712,3028
406,2016071713,1831
407,2016071714,1809
408,2016071715,11579
409,2016071716,-2461
410,2016071717,7336
411,2016071718,2691
412,2016071719,6136
413,2016071720,8997
414,2016071721,5497
415,2016071722,3203
416,2016071723,10846
417,2016071800,5131
418,2016071801,4102
419,2016071802,7796
420,2016071803,2934
421,2016071804,5458
422,2016071805,3366
423,2016071806,7850
424,2016071807,7736
425,2016071808,3682
426,2016071809,7139
427,2016071810,3470
428,2016071811,10773
429,2016071812,13607
430,2016071813,15697
431,2016071814,11562
432,2016071815,9549
433,2016071816,250
434,2016071817,6984
435,2016071818,6412
436,2016071819,-8073
437,2016071820,8396
438,2016071821,5621
439,2016071822,-8840
440,2016071823,5005
441,2016071900,2188
442,2016071901,6642
443,2016071902,3376
444,2016071903,11348
445,2016071904,-807
446,2016071905,6881
447,2016071906,7492
448,2016071907,5916
449,2016071908,8829
450,2016071909,6444
451,2016071910,5181
452,2016071911,5288
453,2016071912,3021
454,2016071913,6801
455,2016071914,5136
456,2016071915,1338
457,2016071916,5065
458,2016071917,5079
459,2016071918,4950
460,2016071919,4158
461,2016071920,4430
462,2016071921,943
463,2016071922,254
464,2016071923,146
465,2016072000,1989
466,2016072001,1638
467,2016072002,2048
468,2016072003,-1787
469,2016072004,761
470,2016072005,814
471,2016072006,1140
472,2016072007,-491
473,2016072008,-1569
474,2016072009,952
475,2016072010,1270
476,2016072011,996
477,2016072012,1138
478,2016072013,1185
479,2016072014,1674
480,2016072015,1781
481,2016072016,1899
482,2016072017,1758
483,2016072018,1703
484,2016072019,1625
485,2016072020,1531
486,2016072021,2178
487,2016072022,2608
488,2016072023,3803
489,2016072100,4970
490,2016072101,-507
491,2016072102,4099
492,2016072103,2813
493,2016072104,2431
494,2016072105,1696
495,2016072106,2877
496,2016072107,3390
497,2016072108,229
498,2016072109,5351
499,2016072110,-1985
500,2016072111,8356
501,2016072112,5969
502,2016072113,1870
503,2016072114,11825
504,2016072115,7857
505,2016072116,7552
506,2016072117,2775
507,2016072118,10615
508,2016072119,9014
509,2016072120,7916
510,2016072121,4020
511,2016072122,2693
512,2016072123,8871
513,2016072200,-2577
514,2016072201,6187
515,2016072202,6835
516,2016072203,-4964
517,2016072204,1167
518,2016072205,4955
519,2016072206,-8222
520,2016072207,5768
521,2016072208,3649
522,2016072209,-5004
523,2016072210,6627
524,2016072211,2746
525,2016072212,3635
526,2016072213,4671
527,2016072214,-893
528,2016072215,7454
529,2016072216,6585
530,2016072217,6502
531,2016072218,10988
532,2016072219,-5393
533,2016072220,8851
534,2016072221,5576
535,2016072222,16730
536,2016072223,12461
537,2016072300,10757
538,2016072301,6018
539,2016072302,6839
540,2016072303,698
541,2016072304,-350
542,2016072305,4146
543,2016072306,5387
544,2016072307,5740
545,2016072308,5047
546,2016072309,7224
547,2016072310,8736
548,2016072311,-4976
549,2016072312,7759
550,2016072313,8298
551,2016072314,3933
552,2016072315,3647
553,2016072316,3340
554,2016072317,4805
555,2016072318,1647
556,2016072319,5853
557,2016072320,3744
558,2016072321,5797
559,2016072322,7841
560,2016072323,7656
561,2016072400,4309
562,2016072401,4690
563,2016072402,3720
564,2016072403,378
565,2016072404,3313
566,2016072405,3991
567,2016072406,4423
568,2016072407,1838
569,2016072408,2106
570,2016072409,6078
571,2016072410,-9018
572,2016072411,2999
573,2016072412,4024
574,2016072413,-7335
575,2016072414,-7008
576,2016072415,8767
577,2016072416,4613
578,2016072417,128
579,2016072418,3746
580,2016072419,2478
581,2016072420,2502
582,2016072421,-4839
583,2016072422,5204
584,2016072423,188
585,2016072500,4314
586,2016072501,-6985
587,2016072502,3894
588,2016072503,2812
589,2016072504,-4973
590,2016072505,1914
591,2016072506,7547
592,2016072507,2327
593,2016072508,3714
594,2016072509,610
595,2016072510,3461
596,2016072511,3622
597,2016072512,-1548
598,2016072513,4964
599,2016072514,8598
600,2016072515,5684
601,2016072516,-4426
602,2016072517,-4051
603,2016072518,1729
604,2016072519,3417
605,2016072520,3807
606,2016072521,3653
607,2016072522,7464
608,2016072523,-58
609,2016072600,210
610,2016072601,2188
611,2016072602,-350
612,2016072603,-87
613,2016072604,2518
614,2016072605,453
615,2016072606,2532
616,2016072607,1036
617,2016072608,-4198
618,2016072609,3042
619,2016072610,2638
620,2016072611,5430
621,2016072612,5616
622,2016072613,2030
623,2016072614,4266
624,2016072615,4073
625,2016072616,3682
626,2016072617,726
627,2016072618,-685
628,2016072619,-2888
629,2016072620,-914
630,2016072621,9065
631,2016072622,11363
632,2016072623,9539
633,2016072700,-3749
634,2016072701,6376
635,2016072702,6280
636,2016072703,-105
637,2016072704,-3061
638,2016072705,2939
639,2016072706,4674
640,2016072707,1879
641,2016072708,8628
642,2016072709,-10586
643,2016072710,2323
644,2016072711,2653
645,2016072712,5263
646,2016072713,-9952
647,2016072714,5726
648,2016072715,2023
649,2016072716,352
650,2016072717,978
651,2016072718,2473
652,2016072719,3928
653,2016072720,3517
654,2016072721,4282
655,2016072722,-3030
656,2016072723,7253
657,2016072800,3563
658,2016072801,4525
659,2016072802,3697
660,2016072803,6024
661,2016072804,2338
662,2016072805,-45
663,2016072806,2491
664,2016072807,-201
665,2016072808,-1279
666,2016072809,2298
667,2016072810,5201
668,2016072811,7869
669,2016072812,1593
670,2016072813,10183
671,2016072814,10480
672,2016072815,6485
673,2016072816,7921
674,2016072817,11556
675,2016072818,1038
676,2016072819,11797
677,2016072820,9526
678,2016072821,-3785
679,2016072822,8257
680,2016072823,3580
681,2016072900,6327
682,2016072901,5482
683,2016072902,5638
684,2016072903,4669
685,2016072904,7065
686,2016072905,-1446
687,2016072906,-12305
688,2016072907,3133
689,2016072908,4397
690,2016072909,2641
691,2016072910,-264
692,2016072911,6222
693,2016072912,2039
694,2016072913,-4537
695,2016072914,1691
696,2016072915,4031
697,2016072916,5198
698,2016072917,4581
699,2016072918,-2414
700,2016072919,-12579
701,2016072920,-716
702,2016072921,8740
703,2016072922,7435
704,2016073023,2889
705,2016073100,2939
706,2016073101,4377
707,2016073102,-48
708,2016073103,574
709,2016073104,2401
710,2016073105,5489
711,2016073106,-124
712,2016073107,2490
713,2016073108,5740
714,2016073109,6177
715,2016073110,6255
716,2016073111,5371
717,2016073112,7237
718,2016073113,10122
719,2016073114,5712
720,2016073115,1062
721,2016073116,7986
722,2016073117,7847
723,2016073118,-4321
724,2016073119,7291
725,2016073120,7342
726,2016073121,5671
727,2016073122,9096
728,2016073123,1514
729,2016080100,744
730,2016080101,2974
731,2016080102,6234
732,2016080103,4610
733,2016080104,1102
734,2016080105,-3742
735,2016080106,3676
736,2016080107,5540
737,2016080108,-2322
738,2016080109,4976
739,2016080110,-1695
740,2016080111,6493
741,2016080112,7790
742,2016080113,2977
743,2016080114,4711
744,2016080115,9855
745,2016080116,7684
746,2016080117,4418
747,2016080118,8169
748,2016080119,-11509
749,2016080120,7711
750,2016080121,8785
751,2016080122,6916
752,2016080123,8582
753,2016080200,8111
754,2016080201,8799
755,2016080202,3865
756,2016080203,-2861
757,2016080204,4400
758,2016080205,-3843
759,2016080206,2671
760,2016080207,3879
761,2016080208,3789
762,2016080209,2286
763,2016080210,4209
764,2016080211,-7006
765,2016080212,961
766,2016080213,-741
767,2016080214,-10646
768,2016080215,-4770
769,2016080216,3878
770,2016080217,4956
771,2016080218,3786
772,2016080219,8887
773,2016080220,7645
774,2016080221,10405
775,2016080222,9030
776,2016080223,-994
777,2016080300,7207
778,2016080301,7299
779,2016080302,4892
780,2016080303,4655
781,2016080304,4638
782,2016080305,6963
783,2016080306,3700
784,2016080307,4023
785,2016080308,-6593
786,2016080309,-5339
787,2016080310,7376
788,2016080311,4247
789,2016080312,4182
790,2016080313,5642
791,2016080314,1703
792,2016080315,225
793,2016080316,6079
794,2016080317,7256
795,2016080318,8202
796,2016080319,-1404
797,2016080320,6493
798,2016080321,11329
799,2016080322,3388
800,2016080323,5317
801,2016080400,-2148
802,2016080401,4075
803,2016080402,3851
804,2016080403,6393
805,2016080404,-2942
806,2016080405,-6987
807,2016080406,6288
808,2016080407,-1801
809,2016080408,-8577
810,2016080409,-5739
811,2016080410,6657
812,2016080411,-8206
813,2016080412,8097
814,2016080413,3545
815,2016080414,4191
816,2016080415,6106
817,2016080416,1760
818,2016080417,2424
819,2016080418,5205
820,2016080419,-695
821,2016080420,8236
822,2016080421,2039
823,2016080422,7744
824,2016080423,7186
825,2016080500,4472
826,2016080501,3234
827,2016080502,4027
828,2016080503,3853
829,2016080504,3085
830,2016080505,-3571
831,2016080506,1491
832,2016080507,4322
833,2016080508,4624
834,2016080509,1099
835,2016080510,-1070
836,2016080511,5771
837,2016080512,7309
838,2016080513,7474
839,2016080514,8237
840,2016080515,5732
841,2016080516,7468
842,2016080517,7188
843,2016080518,2849
844,2016080519,449
845,2016080520,7640
846,2016080521,9742
847,2016080522,-2212
848,2016080523,10053
849,2016080600,-54
850,2016080601,8120
851,2016080602,6236
852,2016080603,6127
853,2016080604,6083
854,2016080605,7284
855,2016080606,7136
856,2016080607,1142
857,2016080608,-11629
858,2016080609,-1796
859,2016080610,7397
860,2016080611,4336
861,2016080612,5848
862,2016080613,7396
863,2016080614,6748
864,2016080615,9732
865,2016080616,3876
866,2016080617,2404
867,2016080618,344
868,2016080619,5035
869,2016080620,606
870,2016080621,5009
871,2016080622,4706
872,2016080623,-7950
873,2016080700,4281
874,2016080701,5413
875,2016080702,-13326
876,2016080703,5126
877,2016080704,5191
878,2016080705,2294
879,2016080706,-1028
880,2016080707,1796
881,2016080708,595
882,2016080709,-1555
883,2016080710,-1581
884,2016080711,-1093
885,2016080712,1015
886,2016080713,6938
887,2016080714,217
888,2016080715,10829
889,2016080716,2812
890,2016080717,2467
891,2016080718,10095
892,2016080719,5536
893,2016080720,5646
894,2016080721,3852
895,2016080722,2419
896,2016080723,8212
897,2016080800,7305
898,2016080801,7887
899,2016080802,2985
900,2016080803,5659
901,2016080804,301
902,2016080805,1530
903,2016080806,297
904,2016080807,1376
905,2016080808,323
906,2016080809,1467
907,2016080810,1040
908,2016080811,18.2
909,2016080812,785
910,2016080813,3760
911,2016080814,7500
912,2016080815,6366
913,2016080816,4815
914,2016080817,12044
915,2016080818,9390
916,2016080819,7676
917,2016080820,1616
918,2016080821,6632
919,2016080822,9178
920,2016080823,9449
921,2016080900,1726
922,2016080901,2863
923,2016080902,587
924,2016080903,3320
925,2016080904,2684
926,2016080905,-1815
927,2016080906,3350
928,2016080907,4479
929,2016080908,-6156
930,2016080909,3522
931,2016080910,-10213
932,2016080911,5147
933,2016080912,6510
934,2016080913,8150
935,2016080914,3287
936,2016080915,4230
937,2016080916,4345
938,2016080917,4353
939,2016080918,4243
940,2016080919,1393
941,2016080920,8025
942,2016080921,-5839
943,2016080922,8658
944,2016080923,-11642
945,2016081000,7840
946,2016081001,-16096
947,2016081002,-15764
948,2016081003,2419
949,2016081004,1208
950,2016081005,1632
951,2016081006,4009
952,2016081007,-2431
953,2016081008,-4227
954,2016081009,-5496
955,2016081010,-3065
956,2016081011,6653
957,2016081012,-8035
958,2016081013,7167
959,2016081014,7855
960,2016081015,7496
961,2016081016,6112
962,2016081017,-2040
963,2016081018,2189
964,2016081019,2249
965,2016081020,3571
966,2016081021,5215
967,2016081022,6304
968,2016081023,6775
969,2016081100,3058
970,2016081101,6670
971,2016081102,-7106
972,2016081103,-1879
973,2016081104,6106
974,2016081105,6988
975,2016081106,2504
976,2016081107,-6237
977,2016081108,-15567
978,2016081109,406
979,2016081110,3014
980,2016081111,7164
981,2016081112,-2657
982,2016081113,8217
983,2016081114,-5962
984,2016081115,8599
985,2016081116,8665
986,2016081117,-1760
987,2016081118,4728
988,2016081119,2275
989,2016081120,4785
990,2016081121,6595
991,2016081122,7888
992,2016081123,3316
993,2016081200,6578
994,2016081201,7974
995,2016081202,-6344
996,2016081203,6067
997,2016081204,93
998,2016081205,3638
999,2016081206,9260
1000,2016081207,451
1001,2016081208,5142
1002,2016081209,3311
1003,2016081210,-43
1004,2016081211,8107
1005,2016081212,7033
1006,2016081213,-2741
1007,2016081214,5464
1008,2016081215,5819
1009,2016081216,-9710
1010,2016081217,7492
1011,2016081218,2757
1012,2016081219,11363
1013,2016081220,5108
1014,2016081221,4066
1015,2016081222,7422
1016,2016081223,4060
1017,2016081300,9701
1018,2016081301,1291
1019,2016081302,-11492
1020,2016081303,3811
1021,2016081304,1860
1022,2016081305,3741
1023,2016081306,2096
1024,2016081307,4041
1025,2016081308,-3381
1026,2016081309,690
1027,2016081310,1476
1028,2016081311,-4255
1029,2016081312,3637
1030,2016081313,-4693
1031,2016081314,3262
1032,2016081315,2575
1033,2016081316,7049
1034,2016081317,5933
1035,2016081318,6799
1036,2016081319,344
1037,2016081320,3574
1038,2016081321,5366
1039,2016081322,3730
1040,2016081323,8.7
1041,2016081400,6074
1042,2016081401,2399
1043,2016081402,15511
1044,2016081403,3265
1045,2016081404,2192
1046,2016081405,779
1047,2016081406,-721
1048,2016081407,3772
1049,2016081408,-1223
1050,2016081409,4186
1051,2016081410,4615
1052,2016081411,654
1053,2016081412,7206
1054,2016081413,10913
1055,2016081414,7943
1056,2016081415,543
1057,2016081416,4016
1058,2016081417,11319
1059,2016081418,11950
1060,2016081419,1333
1061,2016081420,1948
1062,2016081421,2259
1063,2016081422,552
1064,2016081423,-919
1065,2016081500,-2444
1066,2016081501,283
1067,2016081502,2997
1068,2016081503,1760
1069,2016081504,257
1070,2016081505,2081
1071,2016081506,2020
1072,2016081507,-3410
1073,2016081508,1660
1074,2016081509,2763
1075,2016081510,-1783
1076,2016081511,359
1077,2016081512,-2047
1078,2016081513,1297
1079,2016081514,4087
1080,2016081515,4672
1081,2016081516,4018
1082,2016081517,5013
1083,2016081518,5685
1084,2016081519,1393
1085,2016081520,4284
1086,2016081521,5150
1087,2016081522,10133
1088,2016081523,7989
1089,2016081600,3127
1090,2016081601,3308
1091,2016081602,179
1092,2016081603,-851
1093,2016081604,1528
1094,2016081605,2349
1095,2016081606,-263
1096,2016081607,2646
1097,2016081608,-2872
1098,2016081609,3191
1099,2016081610,3242
1100,2016081611,3137
1101,2016081612,3256
1102,2016081613,4180
1103,2016081614,-2242
1104,2016081615,4513
1105,2016081616,2002
1106,2016081617,6289
